room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C4,3,10,0.9662086165022526,11.36475200872262,0.491,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C5,3,20,0.9642395937819292,10.461523373975632,1.077,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C6,3,30,0.9625796947808393,10.161295170159597,7.921,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C7,4,10,0.984402684280116,15.15699518321328,0.462,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C8,4,20,0.9804723658215823,13.694582231261945,0.926,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,8224-274384-0003,C9,4,30,0.9781246022019726,13.21693121639068,3.998,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,baseline,,,0.9946226722791454,19.1406346526539,,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C1,2,10,0.9441791567537762,6.489728419380093,0.72,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C2,2,20,0.9378788477058938,5.653561605222908,1.481,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C3,2,30,0.9354836342851927,5.428758207783769,5.598,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C4,3,10,0.9707302058936715,10.567307257812002,0.788,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C5,3,20,0.9631408968600901,9.660677262065256,1.88,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C6,3,30,0.961532338952531,9.36028067026926,6.294,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C7,4,10,0.9847664322725458,14.088642330123665,0.77,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C8,4,20,0.981915399398242,13.27638561592359,1.862,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,61-70968-0027,C9,4,30,0.9809504541043702,12.995408087582343,5.267,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,3570-5694-0006,baseline,,,0.997349876974068,22.305642962820535,,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,3570-5694-0006,C1,2,10,0.9549560455824837,9.835073318651729,1.418,False,False,
M_rt0.2_d1.0_rep1,0.2,0.2058831460991553,1.0,1,302,clean,3570-5694-0006,C2,2,20,0.9470445115515418,6.918690416494603,2.736,False,False,
